"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","99","POST","All Test Suite","Tue May 13 18:20:44 IST 2025","failed","Tue May 13 18:20:44 IST 2025","Tests.Sacred_Analytics","C:/Users/hp/IdeaProjects/untitled6","Tests.Sacred_Analytics","POST"
"","14790","GiftSgcs","All Test Suite","Wed May 14 13:57:39 IST 2025","passed","Wed May 14 13:57:54 IST 2025","Tests.sacredSecond","C:/Users/hp/IdeaProjects/untitled6","Tests.sacredSecond","GiftSgcs"
"","1695","getCountry","All Test Suite","Wed May 14 13:58:16 IST 2025","passed","Wed May 14 13:58:17 IST 2025","Tests.sacredSecond","C:/Users/hp/IdeaProjects/untitled6","Tests.sacredSecond","getCountry"
"","175","GetUserLevels","All Test Suite","Wed May 14 13:56:57 IST 2025","passed","Wed May 14 13:56:57 IST 2025","Tests.Patch_Users","C:/Users/hp/IdeaProjects/untitled6","Tests.Patch_Users","GetUserLevels"
"","262","usersDetails","All Test Suite","Wed May 14 13:57:39 IST 2025","passed","Wed May 14 13:57:39 IST 2025","Tests.sacredSecond","C:/Users/hp/IdeaProjects/untitled6","Tests.sacredSecond","usersDetails"
"","150","CheckGiftingEligibility","All Test Suite","Wed May 14 13:57:32 IST 2025","passed","Wed May 14 13:57:32 IST 2025","Tests.Cluster_Accounting","C:/Users/hp/IdeaProjects/untitled6","Tests.Cluster_Accounting","CheckGiftingEligibility"
"","35","clusterDetails","All Test Suite","Mon May 26 16:48:03 IST 2025","skipped","Mon May 26 16:48:04 IST 2025","Tests.SacredGroves_Sutra_APIs","C:/Users/hp/IdeaProjects/untitled6","Tests.SacredGroves_Sutra_APIs","clusterDetails"
"","606","Users","All Test Suite","Wed May 14 13:56:54 IST 2025","passed","Wed May 14 13:56:55 IST 2025","Tests.Patch_Users","C:/Users/hp/IdeaProjects/untitled6","Tests.Patch_Users","Users"
"","108","POST","All Test Suite","Tue May 13 18:20:43 IST 2025","failed","Tue May 13 18:20:43 IST 2025","Tests.Sacred_Analytics","C:/Users/hp/IdeaProjects/untitled6","Tests.Sacred_Analytics","POST"
"","162","SendOtp","All Test Suite","Wed May 14 13:57:28 IST 2025","passed","Wed May 14 13:57:28 IST 2025","Tests.Authentication","C:/Users/hp/IdeaProjects/untitled6","Tests.Authentication","SendOtp"
"","379","usersDetails","All Test Suite","Wed May 14 13:56:50 IST 2025","passed","Wed May 14 13:56:51 IST 2025","Tests.Patch_Users","C:/Users/hp/IdeaProjects/untitled6","Tests.Patch_Users","usersDetails"
"","9","User","All Test Suite","Mon May 26 16:48:03 IST 2025","broken","Mon May 26 16:48:03 IST 2025","Tests.SacredGroves_Sutra_APIs","C:/Users/hp/IdeaProjects/untitled6","Tests.SacredGroves_Sutra_APIs","User"
"","0","sutraMapForest","All Test Suite","Mon May 26 16:48:04 IST 2025","skipped","Mon May 26 16:48:04 IST 2025","Tests.SacredGroves_Sutra_APIs","C:/Users/hp/IdeaProjects/untitled6","Tests.SacredGroves_Sutra_APIs","sutraMapForest"
"","589","Users","All Test Suite","Wed May 14 13:56:53 IST 2025","passed","Wed May 14 13:56:54 IST 2025","Tests.Patch_Users","C:/Users/hp/IdeaProjects/untitled6","Tests.Patch_Users","Users"
"","550","HoldingsLedger","All Test Suite","Wed May 14 13:57:32 IST 2025","passed","Wed May 14 13:57:33 IST 2025","Tests.Cluster_Accounting","C:/Users/hp/IdeaProjects/untitled6","Tests.Cluster_Accounting","HoldingsLedger"
"","134","AvailableClusters","All Test Suite","Wed May 14 13:57:37 IST 2025","passed","Wed May 14 13:57:37 IST 2025","Tests.Sacred_Analytics","C:/Users/hp/IdeaProjects/untitled6","Tests.Sacred_Analytics","AvailableClusters"
"","592","Users","All Test Suite","Wed May 14 13:56:55 IST 2025","passed","Wed May 14 13:56:55 IST 2025","Tests.Patch_Users","C:/Users/hp/IdeaProjects/untitled6","Tests.Patch_Users","Users"
"","1719","GetParticularUserDetails","All Test Suite","Wed May 14 13:57:01 IST 2025","passed","Wed May 14 13:57:03 IST 2025","Tests.Sacred_Admin","C:/Users/hp/IdeaProjects/untitled6","Tests.Sacred_Admin","GetParticularUserDetails"
"","690","GetAllUsersWithAmount","All Test Suite","Wed May 14 13:57:00 IST 2025","passed","Wed May 14 13:57:01 IST 2025","Tests.Sacred_Admin","C:/Users/hp/IdeaProjects/untitled6","Tests.Sacred_Admin","GetAllUsersWithAmount"
"","618","grovepoints","All Test Suite","Wed May 14 13:57:27 IST 2025","passed","Wed May 14 13:57:28 IST 2025","Tests.Sacred_Admin","C:/Users/hp/IdeaProjects/untitled6","Tests.Sacred_Admin","grovepoints"
"","106","POST","All Test Suite","Tue May 13 18:20:43 IST 2025","passed","Tue May 13 18:20:43 IST 2025","Tests.Sacred_Analytics","C:/Users/hp/IdeaProjects/untitled6","Tests.Sacred_Analytics","POST"
"","160","GetUser","All Test Suite","Wed May 14 13:56:58 IST 2025","passed","Wed May 14 13:56:58 IST 2025","Tests.Patch_Users","C:/Users/hp/IdeaProjects/untitled6","Tests.Patch_Users","GetUser"
"","123","POST","All Test Suite","Tue May 13 18:20:44 IST 2025","failed","Tue May 13 18:20:44 IST 2025","Tests.Sacred_Analytics","C:/Users/hp/IdeaProjects/untitled6","Tests.Sacred_Analytics","POST"
"","0","powerBi","All Test Suite","Mon May 26 16:48:04 IST 2025","skipped","Mon May 26 16:48:04 IST 2025","Tests.SacredGroves_Sutra_APIs","C:/Users/hp/IdeaProjects/untitled6","Tests.SacredGroves_Sutra_APIs","powerBi"
"","381","POST","All Test Suite","Tue May 13 18:20:43 IST 2025","passed","Tue May 13 18:20:44 IST 2025","Tests.Sacred_Analytics","C:/Users/hp/IdeaProjects/untitled6","Tests.Sacred_Analytics","POST"
"","157","POST","All Test Suite","Tue May 13 18:20:43 IST 2025","passed","Tue May 13 18:20:43 IST 2025","Tests.Sacred_Analytics","C:/Users/hp/IdeaProjects/untitled6","Tests.Sacred_Analytics","POST"
"","154","WorstAQIDetails","All Test Suite","Wed May 14 13:57:37 IST 2025","passed","Wed May 14 13:57:37 IST 2025","Tests.Sacred_Analytics","C:/Users/hp/IdeaProjects/untitled6","Tests.Sacred_Analytics","WorstAQIDetails"
