"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","244","Users","All Test Suite","Mon Apr 28 13:28:39 IST 2025","passed","Mon Apr 28 13:28:39 IST 2025","Tests.Sacred_Analytics","C:/Users/hp/IdeaProjects/untitled6","Tests.Sacred_Analytics","Users"
"","286","usersDetails","All Test Suite","Mon Apr 28 13:27:56 IST 2025","passed","Mon Apr 28 13:27:57 IST 2025","Tests.Patch_Users","C:/Users/hp/IdeaProjects/untitled6","Tests.Patch_Users","usersDetails"
"","14334","GiftSgcs","All Test Suite","Mon Apr 28 13:28:45 IST 2025","passed","Mon Apr 28 13:29:00 IST 2025","Tests.sacredSecond","C:/Users/hp/IdeaProjects/untitled6","Tests.sacredSecond","GiftSgcs"
"","115","TotalClustersGuard","All Test Suite","Mon Apr 28 13:28:44 IST 2025","passed","Mon Apr 28 13:28:44 IST 2025","Tests.Sacred_Analytics","C:/Users/hp/IdeaProjects/untitled6","Tests.Sacred_Analytics","TotalClustersGuard"
"","384","SendOtp","All Test Suite","Mon Apr 28 13:28:31 IST 2025","passed","Mon Apr 28 13:28:32 IST 2025","Tests.Authentication","C:/Users/hp/IdeaProjects/untitled6","Tests.Authentication","SendOtp"
"","181","TotalClustersListOfGuardians","All Test Suite","Mon Apr 28 13:28:41 IST 2025","passed","Mon Apr 28 13:28:41 IST 2025","Tests.Sacred_Analytics","C:/Users/hp/IdeaProjects/untitled6","Tests.Sacred_Analytics","TotalClustersListOfGuardians"
"","536","history","All Test Suite","Mon Apr 28 13:29:56 IST 2025","passed","Mon Apr 28 13:29:56 IST 2025","Tests.sacredSecond","C:/Users/hp/IdeaProjects/untitled6","Tests.sacredSecond","history"
"","131","POST","All Test Suite","Mon Apr 28 13:28:37 IST 2025","failed","Mon Apr 28 13:28:37 IST 2025","Tests.Sacred_Analytics","C:/Users/hp/IdeaProjects/untitled6","Tests.Sacred_Analytics","POST"
"","750","getCity","All Test Suite","Mon Apr 28 13:30:01 IST 2025","passed","Mon Apr 28 13:30:02 IST 2025","Tests.sacredSecond","C:/Users/hp/IdeaProjects/untitled6","Tests.sacredSecond","getCity"
"","109","POST","All Test Suite","Mon Apr 28 13:28:37 IST 2025","failed","Mon Apr 28 13:28:37 IST 2025","Tests.Sacred_Analytics","C:/Users/hp/IdeaProjects/untitled6","Tests.Sacred_Analytics","POST"
