"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","381","GetUserDetails","All Test Suite","Wed May 14 11:04:17 IST 2025","passed","Wed May 14 11:04:18 IST 2025","Tests.Patch_Users","C:/Users/hp/IdeaProjects/untitled6","Tests.Patch_Users","GetUserDetails"
"","523","TotalClustersListOfGuardians","All Test Suite","Wed May 14 11:05:03 IST 2025","passed","Wed May 14 11:05:04 IST 2025","Tests.Sacred_Analytics","C:/Users/hp/IdeaProjects/untitled6","Tests.Sacred_Analytics","TotalClustersListOfGuardians"
"","2109","POST","Default Suite","Tue May 13 17:47:10 IST 2025","passed","Tue May 13 17:47:12 IST 2025","Tests.Sacred_Analytics","untitled6","Tests.Sacred_Analytics","POST"
"","326","POST","Default Suite","Tue May 13 17:47:13 IST 2025","passed","Tue May 13 17:47:13 IST 2025","Tests.Sacred_Analytics","untitled6","Tests.Sacred_Analytics","POST"
"","1360","getState","All Test Suite","Wed May 14 11:06:32 IST 2025","passed","Wed May 14 11:06:33 IST 2025","Tests.sacredSecond","C:/Users/hp/IdeaProjects/untitled6","Tests.sacredSecond","getState"
"","1394","sutraMapForest","All Test Suite","Wed May 14 11:04:08 IST 2025","passed","Wed May 14 11:04:09 IST 2025","Tests.SacredGroves_Sutra_APIs","C:/Users/hp/IdeaProjects/untitled6","Tests.SacredGroves_Sutra_APIs","sutraMapForest"
"","56108","giftAble","All Test Suite","Wed May 14 11:05:28 IST 2025","passed","Wed May 14 11:06:24 IST 2025","Tests.sacredSecond","C:/Users/hp/IdeaProjects/untitled6","Tests.sacredSecond","giftAble"
"","3471","OwnershipDetails","All Test Suite","Wed May 14 11:05:04 IST 2025","passed","Wed May 14 11:05:07 IST 2025","Tests.Sacred_Analytics","C:/Users/hp/IdeaProjects/untitled6","Tests.Sacred_Analytics","OwnershipDetails"
"","142","POST","Default Suite","Tue May 13 17:47:13 IST 2025","passed","Tue May 13 17:47:13 IST 2025","Tests.Sacred_Analytics","untitled6","Tests.Sacred_Analytics","POST"
"","10166","Squads","All Test Suite","Wed May 14 11:04:42 IST 2025","passed","Wed May 14 11:04:52 IST 2025","Tests.Sacred_Admin","C:/Users/hp/IdeaProjects/untitled6","Tests.Sacred_Admin","Squads"
"","600","updateUserPrivacySettings","All Test Suite","Wed May 14 11:06:24 IST 2025","passed","Wed May 14 11:06:25 IST 2025","Tests.sacredSecond","C:/Users/hp/IdeaProjects/untitled6","Tests.sacredSecond","updateUserPrivacySettings"
"","298","CheckGiftingEligibility","All Test Suite","Wed May 14 11:04:59 IST 2025","passed","Wed May 14 11:04:59 IST 2025","Tests.Cluster_Accounting","C:/Users/hp/IdeaProjects/untitled6","Tests.Cluster_Accounting","CheckGiftingEligibility"
"","232","getStates","All Test Suite","Wed May 14 11:06:26 IST 2025","passed","Wed May 14 11:06:26 IST 2025","Tests.sacredSecond","C:/Users/hp/IdeaProjects/untitled6","Tests.sacredSecond","getStates"
"","310","POST","Default Suite","Tue May 13 17:47:12 IST 2025","failed","Tue May 13 17:47:12 IST 2025","Tests.Sacred_Analytics","untitled6","Tests.Sacred_Analytics","POST"
